other_id,recipient_name,incumbent,recipient_party,recipient_type,recipient_state,date,amount
C00459461,FRIENDS OF DENNIS ROSS,TRUE,REP,candidate,FL,11/15/13,5000
C00541862,JASON SMITH FOR CONGRESS,TRUE,REP,candidate,MO,11/15/13,5000
C00473132,MCKINLEY FOR CONGRESS,TRUE,REP,candidate,WV,11/15/13,5000
C00470948,RAUL LABRADOR FOR IDAHO,TRUE,REP,candidate,ID,11/15/13,5000
C00476853,KRISTI FOR CONGRESS,TRUE,REP,candidate,SD,11/19/13,5000
C00461822,"CHUCK FLEISCHMANN FOR CONGRESS COMMITTEE, INC.",TRUE,REP,candidate,TN,12/3/13,5000
C00484667,ICE PAC,,REP,pac,,12/3/13,5000
C00495630,SALMON FOR CONGRESS,TRUE,REP,candidate,AZ,12/3/13,5000
C00257956,BOB GOODLATTE FOR CONGRESS COMMITTEE,TRUE,REP,candidate,VA,12/5/13,5000
C00549352,COMMITTEE TO ELECT VANCE MCALLISTER,,REP,candidate,LA,12/5/13,5000
C00549352,COMMITTEE TO ELECT VANCE MCALLISTER,,REP,candidate,LA,12/5/13,5000
C00497677,GRASS ROOTS INITIATIVE TO MAINTAIN OUR MAJORITY POLITICAL ACTION COMMITTEE A/K/A/GRIMM PAC,,REP,pac,,12/5/13,5000
C00548271,JENKINS FOR CONGRESS,TRUE,REP,candidate,WV,12/5/13,5000
C00548271,JENKINS FOR CONGRESS,TRUE,REP,candidate,WV,12/5/13,5000
C00269340,LOBIONDO FOR CONGRESS,TRUE,REP,candidate,NJ,12/5/13,5000
C00477240,MORGAN GRIFFITH FOR CONGRESS,TRUE,REP,candidate,VA,12/5/13,5000
C00495630,SALMON FOR CONGRESS,TRUE,REP,candidate,AZ,12/5/13,5000
C00472365,"YODER FOR CONGRESS, INC",TRUE,REP,candidate,KS,12/5/13,5000
C00509422,DOUG LAMALFA COMMITTEE,TRUE,REP,candidate,CA,12/6/13,5000
C00512202,PAUL COOK FOR CONGRESS,TRUE,REP,candidate,CA,12/6/13,5000
C00509729,THOMAS MASSIE FOR CONGRESS,TRUE,REP,candidate,KY,12/6/13,5000
C00364935,BILL SHUSTER FOR CONGRESS,TRUE,REP,candidate,PA,12/10/13,5000
C00466482,FAMILIES FOR JAMES LANKFORD,TRUE,REP,candidate,OK,12/10/13,5000
C00551218,PEOPLE FOR DAVID JOLLY,,REP,candidate,FL,12/10/13,5000
C00200865,ROYCE CAMPAIGN COMMITTEE,TRUE,REP,candidate,CA,12/10/13,5000
